ID,ID2,"Item title","Final URL","Image URL","Item subtitle","Item description","Item category",Price,"Sale price"
2184,,"Шляпная коробка Тиффани в шляпной коробке",https://veryberrylab.ru/product/tiffani-v-shlyapnoy-korobke/,https://veryberrylab.ru/upload/iblock/799/799484b084bd40d7b13785e171d063a1.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"3890.00 RUB",
352,,"Корзины с фруктами и цветами Корзина бельгийская классика",https://veryberrylab.ru/product/korzina-belgiyskaya-klassika/,https://veryberrylab.ru/upload/iblock/214/21499ae25f7d93f6ba41611038e36055.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"13690.00 RUB",
654,,"Корзины с фруктами и цветами Эксклюзивная корзина &quot;Большая Любовь&quot;",https://veryberrylab.ru/product/eksklyuzivnaya-korzina-bolshaya-lyubov/,https://veryberrylab.ru/upload/iblock/3cc/3cccf3452eeed2e6eb91f8b18edd482e.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"49490.00 RUB",
655,,"Корзины с фруктами и цветами Корзина гранд премьер",https://veryberrylab.ru/product/korzina-grand-premer/,https://veryberrylab.ru/upload/iblock/d7b/d7b482cdcae7bdfdbdcab9aa7156a551.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"20890.00 RUB",
657,,"Корзины с фруктами и цветами Большой сюрприз",https://veryberrylab.ru/product/bolshoy-syurpriz/,https://veryberrylab.ru/upload/iblock/a64/a64b4323d14c2302b1e8926cd713ad26.jpg,," - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"13190.00 RUB",
841,,"Корзины с фруктами и цветами Романтик",https://veryberrylab.ru/product/romantik/,https://veryberrylab.ru/upload/iblock/db2/db2f287349d0be9db6b991f7022e2e5b.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"21990.00 RUB",
842,,"Корзины с фруктами и цветами Важное событие",https://veryberrylab.ru/product/vazhnoe-sobytie/,https://veryberrylab.ru/upload/iblock/fa3/fa33284bdb9f9ffa4a041f8492dd452d.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"27490.00 RUB",
843,,"Корзины с фруктами и цветами Дорогому человеку",https://veryberrylab.ru/product/dorogomu-cheloveku/,https://veryberrylab.ru/upload/iblock/f8d/f8df1df68b034265ed8476ad47d580aa.jpg,," - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"10990.00 RUB",
844,,"Корзины с фруктами и цветами Сладкий малыш",https://veryberrylab.ru/product/sladkiy-malysh/,https://veryberrylab.ru/upload/iblock/463/463b29148e867fee11b78fb957cf44b2.jpg,," - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"7690.00 RUB",
845,,"Корзины с фруктами и цветами Облака",https://veryberrylab.ru/product/oblaka/,https://veryberrylab.ru/upload/iblock/1e1/1e18c6405357f73ddb4898d4647cf9ef.jpg,," - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"12090.00 RUB",
846,,"Корзины с фруктами и цветами Любимый шоколад",https://veryberrylab.ru/product/lyubimyy-shokolad/,https://veryberrylab.ru/upload/iblock/b16/b163a682102c6c42fa9b6ec41d687a60.jpg,," - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"12090.00 RUB",
847,,"Корзины с фруктами и цветами Багровый свет",https://veryberrylab.ru/product/bagrovyy-svet/,https://veryberrylab.ru/upload/iblock/1ad/1ad17e1bfe58006e872b87136f059fd5.jpg,," - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",15,"8790.00 RUB",
